"filename", "language", "JavaScript JSX", "CSS", "comment", "blank", "total"
"d:\New folder (7)\personal-portfolio\src\components\Skills\FrontEnd.jsx", "JavaScript JSX", 56, 0, 0, 18, 74
"d:\New folder (7)\personal-portfolio\src\components\Skills\Skills.css", "CSS", 0, 39, 9, 12, 60
"d:\New folder (7)\personal-portfolio\src\components\Skills\Skills.jsx", "JavaScript JSX", 15, 0, 0, 4, 19
"d:\New folder (7)\personal-portfolio\src\components\about\About.css", "CSS", 0, 74, 3, 25, 102
"d:\New folder (7)\personal-portfolio\src\components\about\About.jsx", "JavaScript JSX", 48, 0, 0, 7, 55
"d:\New folder (7)\personal-portfolio\src\components\about\Info.jsx", "JavaScript JSX", 23, 0, 0, 11, 34
"d:\New folder (7)\personal-portfolio\src\components\header\Header.css", "CSS", 0, 118, 1, 23, 142
"d:\New folder (7)\personal-portfolio\src\components\header\Header.jsx", "JavaScript JSX", 77, 0, 0, 13, 90
"d:\New folder (7)\personal-portfolio\src\components\home\Data.jsx", "JavaScript JSX", 35, 0, 0, 9, 44
"d:\New folder (7)\personal-portfolio\src\components\home\Home.css", "CSS", 0, 167, 9, 47, 223
"d:\New folder (7)\personal-portfolio\src\components\home\Home.jsx", "JavaScript JSX", 24, 0, 0, 6, 30
"d:\New folder (7)\personal-portfolio\src\components\home\Scroll.jsx", "JavaScript JSX", 48, 0, 0, 3, 51
"d:\New folder (7)\personal-portfolio\src\components\home\Social.jsx", "JavaScript JSX", 18, 0, 0, 6, 24
"d:\New folder (7)\personal-portfolio\src\components\services\Services.css", "CSS", 0, 129, 3, 31, 163
"d:\New folder (7)\personal-portfolio\src\components\services\Services.jsx", "JavaScript JSX", 116, 0, 0, 30, 146
"d:\New folder (7)\personal-portfolio\src\components\ui\3d-pin.jsx", "JavaScript JSX", 144, 0, 0, 7, 151
"d:\New folder (7)\personal-portfolio\src\components\ui\FlipWords.jsx", "JavaScript JSX", 69, 0, 1, 5, 75
"d:\New folder (7)\personal-portfolio\src\components\ui\SpotLight.jsx", "JavaScript JSX", 50, 0, 0, 2, 52
"d:\New folder (7)\personal-portfolio\src\components\work\Work.css", "CSS", 0, 50, 5, 19, 74
"d:\New folder (7)\personal-portfolio\src\components\work\Work.jsx", "JavaScript JSX", 76, 0, 0, 14, 90
"Total", "-", 799, 577, 31, 292, 1699
